country_iso,province_id,province_wos,province_wos_biol,province_wos_cons,country_wos,country_wos_biol,country_wos_cons,country_region,country_continent
IND,1,359,155,13,141370,39535,945,Southern Asia,Asia
IND,2,2441,793,10,141370,39535,945,Southern Asia,Asia
IND,3,567,288,31,141370,39535,945,Southern Asia,Asia
IND,4,1304,521,24,141370,39535,945,Southern Asia,Asia
IND,5,1025,359,2,141370,39535,945,Southern Asia,Asia
IND,6,435,96,0,141370,39535,945,Southern Asia,Asia
IND,7,334,106,1,141370,39535,945,Southern Asia,Asia
IND,8,3,0,0,141370,39535,945,Southern Asia,Asia
IND,9,2,0,0,141370,39535,945,Southern Asia,Asia
IND,10,692,280,1,141370,39535,945,Southern Asia,Asia
IND,11,1966,546,15,141370,39535,945,Southern Asia,Asia
IND,12,772,263,4,141370,39535,945,Southern Asia,Asia
IND,13,978,446,7,141370,39535,945,Southern Asia,Asia
IND,14,377,132,1,141370,39535,945,Southern Asia,Asia
IND,15,441,171,0,141370,39535,945,Southern Asia,Asia
IND,16,2442,813,19,141370,39535,945,Southern Asia,Asia
IND,17,2781,921,18,141370,39535,945,Southern Asia,Asia
IND,18,163,52,3,141370,39535,945,Southern Asia,Asia
IND,19,954,299,6,141370,39535,945,Southern Asia,Asia
IND,20,1557,492,6,141370,39535,945,Southern Asia,Asia
IND,21,450,200,2,141370,39535,945,Southern Asia,Asia
IND,22,581,226,12,141370,39535,945,Southern Asia,Asia
IND,23,262,115,4,141370,39535,945,Southern Asia,Asia
IND,24,199,77,2,141370,39535,945,Southern Asia,Asia
IND,25,23,10,0,141370,39535,945,Southern Asia,Asia
IND,26,477,184,3,141370,39535,945,Southern Asia,Asia
IND,27,320,90,6,141370,39535,945,Southern Asia,Asia
IND,28,1429,491,7,141370,39535,945,Southern Asia,Asia
IND,29,1788,562,8,141370,39535,945,Southern Asia,Asia
IND,30,471,194,9,141370,39535,945,Southern Asia,Asia
IND,31,2730,943,21,141370,39535,945,Southern Asia,Asia
IND,32,87,21,0,141370,39535,945,Southern Asia,Asia
IND,33,191,68,1,141370,39535,945,Southern Asia,Asia
IND,34,1649,628,11,141370,39535,945,Southern Asia,Asia
IND,35,737,318,10,141370,39535,945,Southern Asia,Asia
IND,36,3144,1321,23,141370,39535,945,Southern Asia,Asia
NAM,1,10,4,0,10681,4282,270,Southern Africa,Africa
NAM,2,24,7,0,10681,4282,270,Southern Africa,Africa
NAM,3,3,3,0,10681,4282,270,Southern Africa,Africa
NAM,4,50,30,0,10681,4282,270,Southern Africa,Africa
NAM,5,24,3,1,10681,4282,270,Southern Africa,Africa
NAM,6,58,19,4,10681,4282,270,Southern Africa,Africa
NAM,7,10,4,0,10681,4282,270,Southern Africa,Africa
NAM,8,7,1,0,10681,4282,270,Southern Africa,Africa
NAM,9,6,2,0,10681,4282,270,Southern Africa,Africa
NAM,10,5,1,1,10681,4282,270,Southern Africa,Africa
NAM,11,9,1,0,10681,4282,270,Southern Africa,Africa
NAM,12,4,1,0,10681,4282,270,Southern Africa,Africa
NAM,13,152,78,17,10681,4282,270,Southern Africa,Africa
MLT,1,1533,506,17,1570,519,17,Southern Europe,Europe
GIB,1,2120,825,52,2120,825,52,Southern Europe,Europe
COK,1,4,3,32,893,406,32,Polynesia,Oceania
CXR,1,449,270,26,3085,697,61,NA,Oceania
MCO,1,400,102,1,400,102,1,Western Europe,Europe
MHL,1,593,283,11,1161,381,12,Micronesia,Oceania
MDV,1,549,265,16,549,265,16,Southern Asia,Asia
